"requested_poison_probability","name","label","episodes","mean","median","p25","p75","p10","p90","min","max"
"0.1","clean_rmappo","Clean","160","0.943897323419083","0.899789195259046","0.730588131014054","1.11777226708421","0.566687513440986","1.33695272120096","0.31975537543247","1.91297970760501"
"0.1","random_action_poison","Random","160","1.01985252703758","1.00663511153361","0.801398625899037","1.18440510787087","0.664650162210013","1.41444672938194","0.459447788671348","1.82201644493628"
"0.1","targeted_action_poison","Targeted","160","0.965765852055831","0.922579652407208","0.704360968942515","1.16076222269284","0.533055872972922","1.52181780515579","0.240109540818078","2.5776644315185"
"0.1","kl_targeted_action_poison","KL targeted","160","0.986078451130032","0.956726546260887","0.763562434253656","1.16667960355186","0.608698218628561","1.41781980428078","0.383777718192643","1.8466803102584"
"0.2","clean_rmappo","Clean","160","0.943897323419083","0.899789195259046","0.730588131014054","1.11777226708421","0.566687513440986","1.33695272120096","0.31975537543247","1.91297970760501"
"0.2","random_action_poison","Random","160","0.964742452333338","0.916730531255231","0.768849370648336","1.19183825525154","0.576702680382591","1.35848830712926","0.200381272609534","1.6986439110129"
"0.2","targeted_action_poison","Targeted","160","0.991440655194486","0.987761596944507","0.754798182625949","1.19731823339665","0.57197181677075","1.39891372997533","0.27703511883006","1.88100793216882"
"0.2","kl_targeted_action_poison","KL targeted","160","0.970249435935446","0.943766594549939","0.7717756719313","1.14486245253031","0.55635468866487","1.38289008081981","0.293959666653939","1.89489361127858"
"0.3","clean_rmappo","Clean","160","0.943897323419083","0.899789195259046","0.730588131014054","1.11777226708421","0.566687513440986","1.33695272120096","0.31975537543247","1.91297970760501"
"0.3","random_action_poison","Random","160","0.923194319572493","0.8884469884487","0.747151038841208","1.08220588582702","0.624409307583437","1.26790474357691","0.262262950206235","1.80170335416139"
"0.3","targeted_action_poison","Targeted","160","0.939952962811985","0.910619252258997","0.709716385229394","1.12611383112938","0.571802216198744","1.27564012438959","0.233775908990951","1.85221392497412"
"0.3","kl_targeted_action_poison","KL targeted","160","0.974076545942552","0.933211612258739","0.757504397209231","1.15487437778658","0.597836244871512","1.40572923460234","0.307821456184511","1.97063670781109"
