seed,attack,p01_degradation,p02_degradation,p02_minus_p01_degradation,p01_effective_probability,p02_effective_probability
7,random_action_poison,13.471665173768997,31.4011410176754,17.929475843906403,0.1,0.2
7,targeted_action_poison,24.361111491918564,30.305526107549667,5.9444146156311035,0.1,0.2
7,kl_targeted_action_poison,13.501763075590134,9.435357481241226,-4.0664055943489075,0.05738995559146488,0.07699159198318571
13,random_action_poison,9.461661547422409,-12.14237567782402,-21.60403722524643,0.1,0.2
13,targeted_action_poison,1.2482853531837463,-11.243519306182861,-12.491804659366608,0.1,0.2
13,kl_targeted_action_poison,13.850008398294449,7.687899529933929,-6.162108868360519,0.061117054301574505,0.07282435200235118
21,random_action_poison,22.46291372179985,7.54310205578804,-14.91981166601181,0.1,0.2
21,targeted_action_poison,14.736230254173279,10.38572433590889,-4.350505918264389,0.1,0.2
21,kl_targeted_action_poison,3.848443329334259,9.695425182580948,5.846981853246689,0.051263056561346027,0.07946806595029915
31,random_action_poison,2.5888075828552246,-9.696601510047913,-12.285409092903137,0.1,0.2
31,targeted_action_poison,-28.7061630487442,-33.60306319594383,-4.896900147199631,0.1,0.2
31,kl_targeted_action_poison,-24.00060385465622,-5.653604954481125,18.346998900175095,0.046225831007850174,0.06984321668682313
37,random_action_poison,-0.8287924230098724,-13.834416925907135,-13.005624502897263,0.1,0.2
37,targeted_action_poison,-12.686122000217438,12.44034531712532,25.126467317342758,0.1,0.2
37,kl_targeted_action_poison,15.695795834064484,-4.225379705429077,-19.92117553949356,0.06408344684689404,0.0695539859808322
